rank	candidate_id	title	buyer	deadline	value	currency	band	reasons	scope_dce	term_value_dce	deep_batch
1	TED:593172-2026	Ireland – Signs and related items – Multi-Party Framework for the Printing, Refurbishing, and Installation of Internal and External Signage, including Graphic Design	Mayo Sligo and Leitrim ETB	2026-09-18T11:00:00+01:00	215000.0	EUR	HOT	graphic-design	===== FILE: files/2674_8913321_unpacked/1_TenderPack MSLETB Signage_unpacked/App2_Pricing Schedule.xlsx ===== [SHEET Notional Cost of Requirements] Appendix 2 - Pricing Schedule | | | | | | | | | | Note to Tenderers: | | | | | | | | | | Tenderers must fully complete Column D - Where a tenderer cann…	Requirements and Specifications, and the Terms and Conditions of the Contract, we hereby declare the following: Appendix 3A: Foreign Subsidies Regulation Tenderers are referred to the provisions of Regulation (EU) 2022/2560 of the European Parliament and of the Council on Foreign Subsidies distorti…	batch-000.json
2	TED:593085-2026	France – Printing services – Prestations d’impression pour 2027 (reconductible 3 fois)	Mairie de Vitry-Sur-Seine - Service Commande Publique et Achats	2026-10-15T02:00:00+00:00			GOOD	printing-services,printing-service	===== FILE: files/IMPRESSIONS_RC COMMUN.pdf ===== Ville de Vitry-sur-Seine DIRECTION DE LA COMMUNICATION MARCHÉ PUBLIC DE FOURNITURES COURANTES ET DE SERVICES REGLEMENT DE LA CONSULTATION Pouvoir adjudicateur : Ville de Vitry-sur-Seine Hôtel de Ville 2, avenue Youri Gagarine 94400 Vitry-sur-Seine M…	===== FILE: files/IMPRESSIONS_RC COMMUN.pdf ===== Ville de Vitry-sur-Seine DIRECTION DE LA COMMUNICATION MARCHÉ PUBLIC DE FOURNITURES COURANTES ET DE SERVICES REGLEMENT DE LA CONSULTATION Pouvoir adjudicateur : Ville de Vitry-sur-Seine Hôtel de Ville 2, avenue Youri Gagarine 94400 Vitry-sur-Seine M…	batch-000.json
3	TED:583181-2026	France – E-learning services – Development and maintenance of learning products for the EU Agency for Railways	European Union Agency for Railways	2026-09-11T02:00:00+00:00	800000.0	EUR	GOOD	e-learning	===== FILE: files/Annex_201B_Illustrative_20mock_E2_80_91up_2026_2002_20OP_V1.docx ===== Annex 1B: Illustrative mock-up Development and maintenance of learning products for the EU Agency for Railways – ERA 2026 02 OP Instructions for the illustrative mock-up Purpose of the mock-up The mock-up reque…	liament and of the Council; | | (v) terrorist offences or offences related to terrorist activities as defined in Articles 3 to 12 of Directive (EU) 2017/541 of the European Parliament and of the Council, or inciting, aiding, abetting or attempting to commit such offences, as referred to in Article …	batch-000.json
4	TED:511904-2026	Ireland – IT services: consulting, software development, Internet and support – Request for Tender for the build and support of the National Maritime Single Window Software Solution (FINOG), which is compliant with EMSWe-EU Regulation 2019/1239	Department of Transport	2026-09-09T15:00:00+01:00	10000000.0	EUR	GOOD	software-development,it-services	===== FILE: files/1295_8699278_unpacked/10_04CRD - Contractual Requirements Document (FINOG).docx ===== Contractual Requirements Document (CRD) For the build and support of the National Maritime Single Window Software Solution (FINOG), which is compliant with EMSWe-EU Regulation 2019/1239 Introduct…	ctor Project Initiation Document (CPID) that clearly defines the project artefacts that will be created and maintained by the Successful Tenderer. PCR 1.1f | The Successful Tenderer must provide a governance structure and engagement model appropriate to the size of this project. PCR 1.1g | The Succ…	batch-000.json
5	TED:566260-2026	Germany – IT services: consulting, software development, Internet and support – Scanndienstleistung Verwaltungsakten	Kreis Recklinghausen, Der Landrat	2026-09-08T23:59:59+02:00			GOOD	software-development,it-services	ach § 47 VgV) in Anspruch zu nehmen, ist das ausgefüllte Formular 534a EU oder 534b EU dem Angebot beizufügen. Bitte beachten Sie, dass das Formular 534b EU vom Eignungsleiher unterschrieben einzureichen ist. Sollten Auftragsteile an andere Unternehmen vergeben werden (Unteraufträge nach § 36 VgV),…	nannte Vergabestelle zu übersenden; das Angebot muss dort bis zum Ende der Angebotsfrist eingegangen sein. Der Umschlag ist mit anliegendem Angebotskennzettel (Formular 323 EU) sowie mit dem Firmennamen und der Firmenanschrift zu versehen. Etwaige Änderungen bzw. Berichtigungen des Angebots sind bi…	batch-000.json
6	TED:584751-2026	Germany – IT services: consulting, software development, Internet and support – IT-Dienstleistungen zur Migration von Billing4us nach Grid4us	items GmbH & Co. KG	2026-08-28T23:59:59+02:00			GOOD	software-development,it-services	ragen_20und_20Klarstellungen_20im_20Vergabeverfahren_20-_20Update_2001.pdf ===== items GmbH & Co. KG Vergabeverfahren: IT-Dienstleistungen zur Migration von Billing4us nach Grid4us Vergabenummer: 2026-07-24 Seite 1 von 2 Antworten auf Bieterfragen und Klarstellungen im Vergabeverfahren In diese Anl…	chvollziehbar und adressatengerecht eingebracht werden. 7. Soweit nicht in dieser Vereinbarung ausdrücklich abweichend geregelt, obliegen die Einberufung, Moderation, Governance-seitige Strukturierung und übergreifende Steuerung der formalen Gremien items. 10. BERICHTSWESEN UND STATUSPFLICHTEN 1. D…	batch-000.json
7	TED:532174-2026	Germany – IT services: consulting, software development, Internet and support – Technische Unterstützungsleistungen für das Honorar-, Vertrags- und Abrechnungs-Programm-System („HOPSYS“) im Südwestrundfunk	Südwestrundfunk Anstalt des öffentlichen Rechts	2026-09-02T08:00:00+02:00	1900000.0	EUR	GOOD	software-development,it-services	er Dialog Innovationspartnerschaft Ablauf der Angebotsfrist Datum Uhrzeit Bindefrist endet am Aufforderung zur Abgabe eines Angebots (Vergabeverfahren gem. Abschnitt 2 VOB/A) Bezeichnung der Bauleistung: Maßnahmennummer Baumaßnahme Vergabenummer Leistung A nlagen A) die beim Bieter verbleiben und i…	ine natürliche oder juristische Person, Organisation oder Einrichtung, die im Namen oder auf Anweisung einer der unter Buchstabe a) oder b) des vorliegenden Absatzes genannten natürlichen oder juristischen Person, Organisation oder Einrichtung handelt. 2. Am Auftrag sind keine Unternehmen im Sinne …	batch-000.json
8	TED:566598-2026	Germany – IT services: consulting, software development, Internet and support – IT-Supportservice für die St.-Augustinus-Schule in Trägerschaft des Bistums Hildesheim	Bistum Hildesheim	2026-09-04T23:59:59+02:00			GOOD	software-development,it-services	... 5 2.2 Phase 2: Verhandlungsverfahren ...................................................................................................................... 6 2.2.1 Erstangebot .......................................................................................................................…	ungen oder Kenntnisse erwirbt, sofern diese nicht bereits vorhanden sind. Der Wissenserwerb ist so zu organisieren, dass Betrieb und Support ohne Qualitätsverlust fortgeführt werden. | Eigenerklärung | | 10 | Sprachkenntnisse Deutsch | Das unter Nr. 1 benannte Projekt-/Betriebsteam verfügt über ver…	batch-000.json
9	IE:8898591	2026 52 Single Party Framework Agreement for the Supply of Carbon Measurement and Management Interactive Learning Experience Solution	Louth and Meath Education and Training Board 1384	2026-09-24T12:00:00+01:00	1500000.0	EUR	GOOD	e-learning	age, subsistence, phone, postage, etc.) and account / contract management related costs. Will keep this offer for the framework open for acceptance by you for a period of 12 months from the date of deadline for submission of Tenders, Agree that you are not bound to accept the most economically adva…	While this Framework Agreement will in general form the basis for the award of contracts during the Framework Period, the Client reserves the right to operate outside the terms of the Framework Agreement, for example if it considers that it is not achieving value-for-money or the nature of the cont…	batch-000.json
10	TED:608824-2023	Belgium – IT services: consulting, software development, Internet and support – Alle DIENSTEN waarvoor bij Infrabel een kwalificatiesysteem bestaat.	Infrabel sa				GOOD	software-development,it-services	===== FILE: files/d5aa281d-f0b8-4143-a93e-c9cfbc8b9759_unpacked/Y15bis kwalificatie van leveranciers voor diensten-Y15bis qualification de fournisseurs de services_pub01/DUME services (ESPD, EEE)_20250903.xml ===== <?xml version="1.0" encoding="UTF-8" standalone="yes"?> <espd:ESPDResponse xmlns:esp…	===== FILE: files/d5aa281d-f0b8-4143-a93e-c9cfbc8b9759_unpacked/Y15bis kwalificatie van leveranciers voor diensten-Y15bis qualification de fournisseurs de services_pub01/DUME services (ESPD, EEE)_20250903.xml ===== <?xml version="1.0" encoding="UTF-8" standalone="yes"?> <espd:ESPDResponse xmlns:esp…	batch-000.json
